date,country,gold,silver,bronze
2018-02-10,GER,2,0,0
2018-02-10,NED,1,2,1
2018-02-10,KOR,1,0,0
2018-02-10,SWE,1,0,0
2018-02-10,NOR,0,3,1
2018-02-10,CZE,0,0,1
2018-02-10,FIN,0,0,1
2018-02-10,OAR,0,0,1
2018-02-10,AUS,0,0,0
2018-02-10,AUT,0,0,0
2018-02-10,BEL,0,0,0
2018-02-10,BLR,0,0,0
2018-02-10,CAN,0,0,0
2018-02-10,CHN,0,0,0
2018-02-10,ESP,0,0,0
2018-02-10,FRA,0,0,0
2018-02-10,GBR,0,0,0
2018-02-10,HUN,0,0,0
2018-02-10,ITA,0,0,0
2018-02-10,JPN,0,0,0
2018-02-10,KAZ,0,0,0
2018-02-10,LAT,0,0,0
2018-02-10,LIE,0,0,0
2018-02-10,NZL,0,0,0
2018-02-10,POL,0,0,0
2018-02-10,SLO,0,0,0
2018-02-10,SUI,0,0,0
2018-02-10,SVK,0,0,0
2018-02-10,UKR,0,0,0
2018-02-10,USA,0,0,0
2018-02-11,GER,3,0,1
2018-02-11,NED,2,2,1
2018-02-11,NOR,1,4,3
2018-02-11,USA,1,1,0
2018-02-11,AUT,1,0,0
2018-02-11,FRA,1,0,0
2018-02-11,KOR,1,0,0
2018-02-11,SWE,1,0,0
2018-02-11,CAN,0,3,1
2018-02-11,CZE,0,1,1
2018-02-11,FIN,0,0,1
2018-02-11,ITA,0,0,1
2018-02-11,KAZ,0,0,1
2018-02-11,OAR,0,0,1
2018-02-11,AUS,0,0,0
2018-02-11,BEL,0,0,0
2018-02-11,BLR,0,0,0
2018-02-11,CHN,0,0,0
2018-02-11,ESP,0,0,0
2018-02-11,GBR,0,0,0
2018-02-11,HUN,0,0,0
2018-02-11,JPN,0,0,0
2018-02-11,LAT,0,0,0
2018-02-11,LIE,0,0,0
2018-02-11,NZL,0,0,0
2018-02-11,POL,0,0,0
2018-02-11,SLO,0,0,0
2018-02-11,SUI,0,0,0
2018-02-11,SVK,0,0,0
2018-02-11,UKR,0,0,0
2018-02-12,GER,4,1,2
